data_year,Perc_young,Ringing.location
1982,18.8,WEXF
1983,12.3,WEXF
1984,18.6,WEXF
1985,34.4,WEXF
1986,16.6,WEXF
1987,18.5,WEXF
1988,22.1,WEXF
1989,15.9,WEXF
1990,16.6,WEXF
1991,15.9,WEXF
1992,7.1,WEXF
1993,15.3,WEXF
1994,14.3,WEXF
1995,14.8,WEXF
1996,6.4,WEXF
1997,11.6,WEXF
1998,10.8,WEXF
1999,5.5,WEXF
2000,6.2,WEXF
2001,6.5,WEXF
2002,9.4,WEXF
2003,11.7,WEXF
2004,11.8,WEXF
2005,7.1,WEXF
2006,10.5,WEXF
2007,7.1,WEXF
2008,11.3,WEXF
2009,9.1,WEXF
2010,14.7,WEXF
2011,7.1,WEXF
2012,5,WEXF
2013,6.8,WEXF
2014,5.8,WEXF
2015,5.8,WEXF
2016,12.2,WEXF
2017,5.3,WEXF
2018,7,WEXF
2019,10.8,WEXF
1982,12.9,ISLA
1983,9.9,ISLA
1984,12.1,ISLA
1985,27.3,ISLA
1986,10.1,ISLA
1987,17.7,ISLA
1988,18.2,ISLA
1989,18.7,ISLA
1990,19,ISLA
1991,16.7,ISLA
1992,6.7,ISLA
1993,15.6,ISLA
1994,13.2,ISLA
1995,19.7,ISLA
1996,6.2,ISLA
1997,14.2,ISLA
1998,19,ISLA
1999,10.4,ISLA
2000,8.2,ISLA
2001,7.9,ISLA
2002,10.8,ISLA
2003,8.7,ISLA
2004,8.1,ISLA
2005,8.9,ISLA
2006,10,ISLA
2007,10.3,ISLA
2008,11,ISLA
2009,14.7,ISLA
2010,22.9,ISLA
2011,9.9,ISLA
2012,11.1,ISLA
2013,17,ISLA
2014,14.7,ISLA
2015,16.1,ISLA
2016,18.4,ISLA
2017,9.2,ISLA
2018,12.3,ISLA
2019,20.7,ISLA
