spring,Population estimate,Wexford,Islay,Missing data,
1983,16540,6360,3440,N,
1984,17540,6270,4200,N,
1985,19950,7590,4720,N,
1986,21890,7940,5670,N,
1987,23280,7780,6490,N,
1988,24570,8780,7310,N,
1989,25990,9800,6820,N,
1990,26090,9330,7210,N,
1991,29400,9600,8860,N,
1992,29950,9450,9200,N,
1993,27340,8090,10840,N,
1994,29580,10360,9500,N,
1995,30460,9250,9650,N,
1996,34440,9970,11780,N,
1997,33110,8680,11210,N,
1998,32840,8220,12220,N,
1999,35570,8930,13560,N,
2000,32200,8370,11200,N,
2001,30500,NA,NA,Y,
2002,26450,7090,9160,N,
2003,29470,7920,10680,Y,
2004,28700,8420,9650,Y,
2005,23840,7710,7150,Y,
2006,24900,7890,7110,N,
2007,25170,9710,6030,Y,
2008,23210,7540,7090,N,
2009,23160,8030,6430,N,
2010,22840,8380,5740,N,
2011,25770,9730,6910,N,
2012,22400,9570,4310,N,
2013,22160,8750,5450,N,
2014,20800,8110,5090,N,
2015,18850,7980,4000,N,
2016,18810,6420,5180,N,
2017,20560,7050,6140,N,
2018,20530,7640,5320,N,
2019,21420,7440,6770,N,
2020,21490,8310,5910,N,
,,,,,
,,,,,
