Bird.ID,Deploy.Date,Data.End.Date,Age,Sex,Wing,Mass,H.B,TAG.type,X.ray.result,Tag.code,Ringing.location,S.N,Tag.Extant,Redeployed,UHF.Code,Current.Winter.site,Accelerometer.,2012.Gos,2013.Gos,2014.Gos,2015.Gos,2016.Gos,2017.Gos,2018.Gos,2019.Gos,2020.Gos,Notes
XJ,20/11/2018,30/06/2019,A,F,436,2525,110,Ornitela GSM (x2 solar),NA,XJ,ISLA,17674,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,0,,"Bird extant and at Craigens, Islay Nov 2019. Only half downloaded breeding season butcurrently in signal balck hole"
XX,05/01/2019,11/10/2019,A,F,409,2375,107.5,Ornitela GSM (x2 solar),NA,XX,WEST,17706,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Bird died Iceland Autumn 2019
XT,05/01/2019,04/05/2020,A,F,415,2200,107.5,Ornitela GSM (x2 solar),NA,XT,WEST,17758,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,2,,NA
AU,29/02/2020,27/01/2022,A,F,442,2700,107.4,Ornitela GSM (x2 solar),0,AU,ISLA,17759,Y,N,NA,Gruinart,Y,Na,Na,Na,Na,Na,Na,Na,0,2,NA
AZ,06/02/2020,27/01/2022,A,F,415,2400,109,Ornitela GSM (x2 solar),0,AZ,ISLA,17761,Y,N,NA,Craigens,Y,Na,Na,Na,Na,Na,Na,Na,2,4,NA
XP,05/01/2019,07/05/2019,A,F,404,2125,105.5,Ornitela GSM (x2 solar),NA,XP,WEST,17770,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Stopped transmitting during spring staging 2019
XV,13/12/2018,04/03/2020,A,F,381,2400,105.4,Ornitela GSM (x2 solar),NA,XV,LOKE,17776,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,1,,NA
XU,13/12/2018,27/01/2022,A,F,414,2700,107,Ornitela GSM (x2 solar),NA,XU,LOKE,17779,Y,N,NA,Lock Ken,Y,Na,Na,Na,Na,Na,Na,0,3,,NA
A0,06/02/2020,06/05/2020,A,F,410,2300,106,Ornitela GSM (x2 solar),0,A0,ISLA,17800,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,3,,NA
XZ,27/02/2019,08/05/2020,A,F,421,2375,106.3,Ornitela GSM (x2 solar),0,XZ,ISLA,17782,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,1,,NA
XH,20/11/2018,27/01/2022,A,F,418,2475,109,Ornitela GSM (x2 solar),NA,XH,ISLA,17786,Y,N,NA,Craigens,Y,Na,Na,Na,Na,Na,Na,0,0,1,NA
XN,20/11/2018,27/01/2022,A,F,424,2600,106.5,Ornitela GSM (x2 solar),NA,XN,ISLA,17790,Y,N,NA,Craigens,Y,Na,Na,Na,Na,Na,Na,0,0,0,NA
XS,05/01/2019,27/01/2022,A,F,412,2375,109,Ornitela GSM (x2 solar),NA,XS,WEST,17791,Y,N,NA,West Freugh,Y,Na,Na,Na,Na,Na,Na,0,0,,NA
A8,26/02/2020,04/05/2020,A,F,403,2150,102.1,Ornitela GSM (x2 solar),0,A8,ISLA,17792,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,1,,NA
XL,20/11/2018,23/10/2019,A,F,421,2425,107.2,Ornitela GSM (x2 solar),NA,XL,ISLA,17796,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Bird Shot Iceland Autumn staging 2019
AT,27/02/2020,27/01/2022,A,F,406,2300,101.1,Ornitela GSM (x2 solar),0,AT,ISLA,17801,Y,N,NA,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,0,0,NA
X1,20/11/2018,22/10/2019,A,F,419,2375,106,Ornitela GSM (x2 solar),NA,X1,ISLA,17806,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,Bird Shot Iceland Autumn staging 2019
XY,27/02/2019,27/01/2022,A,F,392,2300,106,Ornitela GSM (x2 solar),0,XY,ISLA,17807,Y,N,NA,Ronnachmore,Y,Na,Na,Na,Na,Na,Na,0,0,0,NA
X4,28/02/2019,12/08/2019,A,F,416,2375,106.5,Ornitela GSM (x2 solar),0,X4,ISLA,17810,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,0,0,Bird extant and at Conrabus Islay as of Nov 2019. Large data backload that may back fill when tag gets sun and signal
X6,28/02/2019,07/04/2019,A,F,395,2050,104.1,Ornitela GSM (x2 solar),0,X6,ISLA,17822,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,0,0,Stopped transmitting spring migration 2019.           Resighted in November 2019 on Islay
X8,28/02/2019,27/01/2022,A,F,420,2200,107.2,Ornitela GSM (x2 solar),0,X8,ISLA,17824,Y,N,NA,Cornabus,Y,Na,Na,Na,Na,Na,Na,0,0,0,NA
XA,20/11/2018,03/05/2019,A,F,420,2475,108.8,Ornitela GSM (x2 solar),NA,XA,ISLA,171211,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,2,Na,Na,Stopped transmitting during spring staging 2019
X9,27/02/2020,27/01/2022,A,F,407,2425,108.9,Ornitela GSM (x2 solar),0,X9,ISLA,190291,Y,N,NA,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,0,0,NA
X0,27/02/2020,27/01/2022,A,F,399,2075,100,Ornitela GSM (x2 solar),0,X0,ISLA,190292,Y,N,NA,Lock Ken,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
YH,07/12/2019,30/04/2020,A,F,395,2225,104.5,Ornitela GSM (x2 solar),0,YH,WEST,190293,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,4,,NA
YJ,29/02/2020,02/05/2021,A,F,406,2000,104.5,Ornitela GSM (x2 solar),0,YJ,ISLA,190294,Y,N,NA,Outer Hebs,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
7,27/02/2019,10/04/2019,A,F,428,2175,108.5,Ornitela GSM (x2 solar),0,7,ISLA,190295.1,N,Y,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,NA
YA,27/02/2020,27/01/2022,A,F,411,2225,101.2,Ornitela GSM (x2 solar),0,YA,ISLA,190295.2,Y,Y,NA,Carnduncan,Y,Na,Na,Na,Na,Na,Na,Na,0,0,NA
YL,26/02/2020,08/05/2020,A,F,421,2000,104.5,Ornitela GSM (x2 solar),0,YL,ISLA,193086,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
YN,26/02/2020,03/05/2020,A,F,410,2475,103.3,Ornitela GSM (x2 solar),0,YN,ISLA,193087,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,0,,NA
