"event-id","visible","timestamp","location-long","location-lat","comments","external-temperature","gps:fix-type-raw","ground-speed","heading","height-above-ellipsoid","height-raw","sampling-frequency","tag-tech-spec","tag-voltage","transmission-protocol","transmission-timestamp","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","height-above-msl","Tag_year","UK_dep","Ice_arrive_spring","year","ID","Ice_dep_spring","Green_arrive","Green_dep","Ice_arrive_autumn","Green_dep2","Green_arrive2","Acc","date","tag_date","month","trim_data2","Green_arrive3","precip_rate","temp_2m"
15110561809,TRUE,2014-06-04 08:04:00,-52.88832,67.38852,NA,-999,"GPS_UHF",0.51444444444444,NA,NA,NA,0,"UHF",NA,NA,"2014-06-04 08:04:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-04,"BLO27_2014-06-04",6,2014-07-12,2014-05-05,3.1294317862637e-05,274.136519684906
15110561824,TRUE,2014-06-04 12:07:00,-52.89285,67.3852,NA,-999,"GPS_UHF",0.102888888888888,NA,NA,NA,0,"UHF",NA,NA,"2014-06-04 12:07:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-04,"BLO27_2014-06-04",6,2014-07-12,2014-05-05,3.63890935625483e-05,274.202104215058
15110561837,TRUE,2014-06-04 16:10:00,-52.92943,67.37123,NA,-999,"GPS_UHF",0.25722222222222,NA,NA,NA,0,"UHF",NA,NA,"2014-06-04 16:10:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-04,"BLO27_2014-06-04",6,2014-07-12,2014-05-05,3.56656957349785e-05,274.230634727712
15110561864,TRUE,2014-06-05 08:03:00,-52.78465,67.40157,NA,-999,"GPS_UHF",0.411555555555552,NA,NA,NA,0,"UHF",NA,NA,"2014-06-05 08:03:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-05,"BLO27_2014-06-05",6,2014-07-12,2014-05-05,2.4096498583672e-05,274.80378319532
15110561879,TRUE,2014-06-05 12:06:00,-52.91043,67.37665,NA,-999,"GPS_UHF",7.20222222222216,NA,NA,NA,0,"UHF",NA,NA,"2014-06-05 12:06:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-05,"BLO27_2014-06-05",6,2014-07-12,2014-05-05,6.00547839950543e-05,274.969174633745
15110561889,TRUE,2014-06-05 16:09:00,-52.89685,67.38488,NA,-999,"GPS_UHF",0.308666666666664,NA,NA,NA,0,"UHF",NA,NA,"2014-06-05 16:09:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-05,"BLO27_2014-06-05",6,2014-07-12,2014-05-05,6.00930100292234e-05,274.960374223019
15110561918,TRUE,2014-06-06 08:04:00,-52.65292,67.42003,NA,-999,"GPS_UHF",0.154333333333332,NA,NA,NA,0,"UHF",NA,NA,"2014-06-06 08:04:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-06,"BLO27_2014-06-06",6,2014-07-12,2014-05-05,3.09977676087314e-05,274.124393466825
15110561933,TRUE,2014-06-06 12:07:00,-52.68305,67.4294,NA,-999,"GPS_UHF",11.8322222222221,NA,NA,NA,0,"UHF",NA,NA,"2014-06-06 12:07:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-06,"BLO27_2014-06-06",6,2014-07-12,2014-05-05,3.99401365826471e-05,274.044823382828
15110561944,TRUE,2014-06-06 16:10:00,-52.73102,67.42208,NA,-999,"GPS_UHF",0.617333333333328,NA,NA,NA,0,"UHF",NA,NA,"2014-06-06 16:10:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-06,"BLO27_2014-06-06",6,2014-07-12,2014-05-05,3.94563727212121e-05,274.056853901513
15110561971,TRUE,2014-06-07 08:04:00,-52.95955,67.37743,NA,-999,"GPS_UHF",0.205777777777776,NA,NA,NA,0,"UHF",NA,NA,"2014-06-07 08:04:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-07,"BLO27_2014-06-07",6,2014-07-12,2014-05-05,7.16890612305741e-06,274.075359871553
15110561987,TRUE,2014-06-07 12:07:00,-52.6845,67.41747,NA,-999,"GPS_UHF",0.205777777777776,NA,NA,NA,0,"UHF",NA,NA,"2014-06-07 12:07:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-07,"BLO27_2014-06-07",6,2014-07-12,2014-05-05,1.95401677663521e-05,273.656660179355
15110561998,TRUE,2014-06-07 16:11:00,-52.68482,67.41778,NA,-999,"GPS_UHF",1.69766666666665,NA,NA,NA,0,"UHF",NA,NA,"2014-06-07 16:11:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-07,"BLO27_2014-06-07",6,2014-07-12,2014-05-05,1.95385777546888e-05,273.656866190996
15110562025,TRUE,2014-06-08 08:04:00,-52.69838,67.42487,NA,-999,"GPS_UHF",0,NA,NA,NA,0,"UHF",NA,NA,"2014-06-08 08:04:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-08,"BLO27_2014-06-08",6,2014-07-12,2014-05-05,5.98844191354562e-06,273.377822006583
15110562038,TRUE,2014-06-08 12:07:00,-52.67722,67.41778,NA,-999,"GPS_UHF",0.617333333333328,NA,NA,NA,0,"UHF",NA,NA,"2014-06-08 12:07:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-08,"BLO27_2014-06-08",6,2014-07-12,2014-05-05,8.30583978109578e-06,274.008009181322
15110562050,TRUE,2014-06-08 16:10:00,-52.67818,67.41785,NA,-999,"GPS_UHF",0.720222222222216,NA,NA,NA,0,"UHF",NA,NA,"2014-06-08 16:10:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-08,"BLO27_2014-06-08",6,2014-07-12,2014-05-05,8.30088865674417e-06,274.008955930378
15110562076,TRUE,2014-06-09 08:04:00,-52.72037,67.40365,NA,-999,"GPS_UHF",0.25722222222222,NA,NA,NA,0,"UHF",NA,NA,"2014-06-09 08:04:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-09,"BLO27_2014-06-09",6,2014-07-12,2014-05-05,9.79828155892277e-06,274.830548146956
15110562092,TRUE,2014-06-09 12:06:00,-52.67563,67.42243,NA,-999,"GPS_UHF",0.411555555555552,NA,NA,NA,0,"UHF",NA,NA,"2014-06-09 12:06:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-09,"BLO27_2014-06-09",6,2014-07-12,2014-05-05,2.58817946836463e-05,275.411709626502
15110562104,TRUE,2014-06-09 16:09:00,-52.67307,67.42228,NA,-999,"GPS_UHF",0.360111111111108,NA,NA,NA,0,"UHF",NA,NA,"2014-06-09 16:09:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-09,"BLO27_2014-06-09",6,2014-07-12,2014-05-05,2.59126259416127e-05,275.408464655801
15110562131,TRUE,2014-06-10 08:04:00,-52.72727,67.44058,NA,-999,"GPS_UHF",0.154333333333332,NA,NA,NA,0,"UHF",NA,NA,"2014-06-10 08:04:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-10,"BLO27_2014-06-10",6,2014-07-12,2014-05-05,7.50169369502779e-06,274.435061321113
15110562146,TRUE,2014-06-10 12:07:00,-52.65262,67.43598,NA,-999,"GPS_UHF",1.44044444444443,NA,NA,NA,0,"UHF",NA,NA,"2014-06-10 12:07:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-10,"BLO27_2014-06-10",6,2014-07-12,2014-05-05,3.26297555595906e-05,274.960472496393
15110562156,TRUE,2014-06-10 16:10:00,-52.65308,67.43632,NA,-999,"GPS_UHF",0.154333333333332,NA,NA,NA,0,"UHF",NA,NA,"2014-06-10 16:10:00.000","gps","Anser albifrons","BLO27","BLO27","Greenland White-fronted Goose tracking",NA,"BLO27_2014","2014-04-11","2014-04-12",2014,"BLO27","2014-05-02","2014-05-05","2014-09-08","2014-09-10",2014-09-07,2014-05-06,"N",2014-06-10,"BLO27_2014-06-10",6,2014-07-12,2014-05-05,3.26221907763349e-05,274.960960536324
