tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep_aut,Ice_arrive_aut
171211_2019,2019-04-09,2019-04-11,2019,171211,NA,NA,NA,NA
17674_2019,2019-03-31,2019-04-01,2019,17674,2019-05-05,2019-05-06,NA,NA
17700_2019,2019-04-05,2019-04-06,2019,17700,2019-05-05,2019-05-06,2019-09-14,2019-09-15
17700_2020,2020-03-31,2020-04-02,2020,17700,NA,NA,NA,NA
17706_2019,2019-04-08,2019-04-09,2019,17706,2019-05-03,2019-05-07,2019-09-09,2019-09-11
17739_2019,2019-04-05,2019-04-06,2019,17739,2019-05-05,2019-05-06,2019-09-14,2019-09-15
17739_2020,2020-03-31,2020-04-02,2020,17739,2020-05-08,2020-05-10,2020-09-07,2020-09-09
17739_2021,2021-04-02,2021-04-04,2021,17739,2021-05-05,2021-05-07,2021-09-09,2021-09-10
17757_2019,2019-03-27,2019-04-14,2019,17757,NA,NA,NA,NA
17758_2019,2019-03-31,2019-04-01,2019,17758,2019-05-03,2019-05-05,2019-09-14,2019-09-15
17758_2020,2020-04-07,2020-04-11,2020,17758,NA,NA,NA,NA
17759_2020,2020-04-04,2020-04-06,2020,17759,2020-05-07,2020-05-08,2020-09-02,2020-09-03
17759_2021,2021-04-14,2021-04-17,2021,17759,2021-05-05,2021-05-07,2021-08-29,2021-09-01
17760_2019,2019-03-31,2019-04-01,2019,17760,2019-05-05,2019-05-06,2019-09-02,2019-09-03
17760_2020,2020-04-04,2020-04-06,2020,17760,2020-05-06,2020-05-09,2020-08-29,2020-08-31
17760_2021,2021-04-09,2021-04-11,2021,17760,2021-05-04,2021-05-06,2021-09-06,2021-09-09
17761_2021,2021-04-11,2021-04-12,2021,17761,2021-05-01,2021-05-03,2021-09-06,2021-09-09
17762_2018,2018-04-05,2018-04-06,2018,17762,2018-05-07,2018-05-08,2018-09-26,2018-09-27
17762_2019,2019-03-25,2019-03-29,2019,17762,2019-05-03,2019-05-04,2019-09-22,2019-09-26
17762_2020,2020-03-31,2020-04-03,2020,17762,NA,NA,NA,NA
17763_2018,2018-04-07,2018-04-08,2018,17763,2018-05-07,2018-05-08,2018-09-21,2018-09-23
17763_2019,2019-03-31,2019-04-01,2019,17763,NA,NA,NA,NA
17764_2019,2019-03-21,2019-03-24,2019,17764,2019-05-05,2019-05-06,2019-08-31,2019-09-02
17764_2020,2020-03-25,2020-03-27,2020,17764,2020-05-01,2020-05-03,2020-09-07,2020-09-09
17764_2021,2021-03-25,2021-03-26,2021,17764,NA,NA,NA,NA
17765_2019,2019-03-31,2019-04-01,2019,17765,2019-05-05,2019-05-06,2019-09-03,2019-09-04
17765_2020,2020-04-04,2020-04-06,2020,17765,2020-05-02,2020-05-05,2020-09-01,2020-09-04
17765_2021,2021-04-10,2021-04-11,2021,17765,2021-05-02,2021-05-04,2021-09-03,2021-09-08
17766_2018,2018-04-08,2018-04-09,2018,17766,2018-05-08,2018-05-10,2018-09-17,2018-09-18
17766_2019,2019-03-30,2019-04-01,2019,17766,2019-05-05,2019-05-06,2019-09-10,2019-09-11
17766_2020,2020-04-03,2020-04-05,2020,17766,2020-05-02,2020-05-07,2020-09-09,2020-09-15
17766_2021,2021-04-03,2021-04-04,2021,17766,2021-05-03,2021-05-07,NA,NA
17767_2018,2018-04-08,2018-04-09,2018,17767,NA,NA,NA,NA
17768_2018,2018-04-08,2018-04-09,2018,17768,2018-05-07,2018-05-08,2018-09-14,2018-09-18
17769_2018,2018-04-01,2018-04-03,2018,17769,2018-05-09,2018-05-10,2018-09-17,2018-09-19
17769_2019,2019-03-25,2019-03-30,2019,17769,2019-05-06,2019-05-07,2019-09-17,2019-09-27
17769_2020,2020-03-31,2020-04-03,2020,17769,2020-05-07,2020-05-09,2020-09-10,2020-09-15
17769_2021,2021-04-03,2021-04-04,2021,17769,2021-05-03,2021-05-05,2021-09-11,2021-09-21
17770_2019,2019-03-31,2019-04-01,2019,17770,NA,NA,NA,NA
17771_2019,2019-03-31,2019-04-01,2019,17771,2019-05-05,2019-05-08,2019-09-18,2019-09-21
17771_2020,2020-03-31,2020-04-02,2020,17771,NA,NA,NA,NA
17776_2019,2019-04-08,2019-04-09,2019,17776,2019-04-30,2019-05-02,2019-09-16,2019-09-17
17777_2018,2018-04-01,2018-04-03,2018,17777,2018-05-09,2018-05-10,2018-09-17,2018-09-19
17777_2019,2019-03-25,2019-03-30,2019,17777,2019-05-06,2019-05-07,2019-09-07,2019-09-14
17777_2020,2020-03-31,2020-04-03,2020,17777,2020-05-07,2020-05-11,2020-09-10,2020-09-12
17777_2021,2021-04-03,2021-04-04,2021,17777,2021-05-04,2021-05-06,2021-09-09,2021-09-11
17778_2018,2018-04-05,2018-04-06,2018,17778,2018-05-08,2018-05-10,2018-09-26,2018-09-27
17778_2019,2019-03-28,2019-03-30,2019,17778,NA,NA,NA,NA
17779_2019,2019-03-29,2019-03-31,2019,17779,2019-05-03,2019-05-04,2019-09-10,2019-09-11
17779_2020,2020-03-31,2020-04-03,2020,17779,2020-04-29,2020-04-30,2020-09-07,2020-09-10
