Tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length
17700_2019,2019-04-05,2019-04-06,2019,17700,2019-05-05,2019-05-06,2019-09-14,2019-06-02,2019-06-06,5,27
17706_2019,2019-04-08,2019-04-09,2019,17706,2019-05-03,2019-05-07,2019-09-09,2019-05-29,2019-06-11,14,22
17739_2019,2019-04-05,2019-04-06,2019,17739,2019-05-05,2019-05-06,2019-09-14,2019-05-25,2019-05-31,7,19
17739_2020,2020-03-31,2020-04-02,2020,17739,2020-05-08,2020-05-10,2020-09-07,2020-06-01,2020-06-03,3,22
17739_2021,2021-04-02,2021-04-04,2021,17739,2021-05-05,2021-05-07,2021-09-09,2021-06-07,2021-06-16,10,31
17758_2019,2019-03-31,2019-04-01,2019,17758,2019-05-03,2019-05-05,2019-09-14,2019-06-05,2019-07-02,28,31
17759_2020,2020-04-04,2020-04-06,2020,17759,2020-05-07,2020-05-08,2020-09-02,2020-05-25,2020-06-19,26,17
17759_2021,2021-04-14,2021-04-17,2021,17759,2021-05-05,2021-05-07,2021-08-29,2021-05-28,2021-06-01,5,21
17760_2019,2019-03-31,2019-04-01,2019,17760,2019-05-05,2019-05-06,2019-09-02,2019-05-24,2019-05-27,4,18
17760_2020,2020-04-04,2020-04-06,2020,17760,2020-05-06,2020-05-09,2020-08-29,2020-05-26,2020-05-27,2,17
17760_2021,2021-04-09,2021-04-11,2021,17760,2021-05-04,2021-05-06,2021-09-06,2021-05-31,2021-06-14,15,25
17761_2021,2021-04-11,2021-04-12,2021,17761,2021-05-01,2021-05-03,2021-09-06,NA,NA,0,NA
17762_2018,2018-04-05,2018-04-06,2018,17762,2018-05-07,2018-05-08,2018-09-26,2018-05-30,2018-06-03,5,22
17762_2019,2019-03-25,2019-03-29,2019,17762,2019-05-03,2019-05-04,2019-09-22,2019-05-17,2019-06-12,27,13
17763_2018,2018-04-07,2018-04-08,2018,17763,2018-05-07,2018-05-08,2018-09-21,2018-06-07,2018-07-01,25,30
17764_2019,2019-03-21,2019-03-24,2019,17764,2019-05-05,2019-05-06,2019-08-31,2019-05-24,2019-05-30,7,18
