"Tag_year","attempt_start","attempt_end","length","Green_dep","UK_dep","Ice_arrive_spring","year","ID","Green_arrive","pre_breed_length","Ice_dep_spring","Acc","attempt","success23","success24","successall","ordinal","staging_length","Age","Mass","Sex","Ringing.location","prev_success","breeding_lat","breeding_long","mig_duration","total_ODBA","Green_centre","laying_centre","failure_centre"
"17674_2019","2019-05-22","2019-06-13",23,"2019-06-29","2019-03-31",2019-04-01,2019,"17674","2019-05-07",15,2019-05-05,"Y",1,1,0,0,"success",34,"A","2525","F","ISLA",NA,67.493698,-51.666172,38.4091666666667,1598.14725275818,0,-2,7
"17700_2019","2019-06-02","2019-06-06",5,"2019-09-13","2019-04-05",2019-04-06,2019,"17700","2019-05-07",26,2019-05-05,"Y",1,0,0,0,"early.fail",29,"A","2350","F","WEXF",NA,72.273819,-54.4183255,38.0019444444444,1738.49505183964,0,9,0
"17706_2019","2019-05-29","2019-06-11",14,"2019-09-08","2019-03-28",2019-04-09,2019,"17706","2019-05-08",21,2019-05-03,"Y",1,0,0,0,"late.fail",24,"A","2375","F","WEST",NA,67.163887,-52.025051,96.6511111111111,2701.49278124444,1,5,5
"17739_2019","2019-05-25","2019-05-31",7,"2019-09-13","2019-04-05",2019-04-06,2019,"17739","2019-05-07",18,2019-05-05,"Y",1,0,0,0,"early.fail",29,"A","2500","F","WEXF",NA,72.235229,-54.44556,38.0030555555556,1809.37011884842,0,1,-6
"17758_2019","2019-06-05","2019-07-02",28,"2019-09-13","2019-03-31",2019-04-01,2019,"17758","2019-05-06",30,2019-05-03,"Y",1,1,1,1,"success",32,"A","2200","F","WEST",NA,69.413696,-50.530888,19.1472222222222,806.454976326206,-1,12,26
"17760_2019","2019-05-24","2019-05-26",3,"2019-09-01","2019-03-24",2019-04-01,2019,"17760","2019-05-07",17,2019-05-05,"Y",1,0,0,0,"early.fail",34,"A","2350","F","LIRO",NA,67.63472,-50.450684,38.2747222222222,1612.79134401136,0,0,-11
"17762_2019","2019-05-18","2019-06-12",26,"2019-09-21","2019-03-25",2019-03-29,2019,"17762","2019-05-05",13,2019-05-03,"Y",1,1,1,1,"success",35,"A","2600","F","WEXF",NA,71.463821,-53.928429,20.2527777777778,858.612058385299,-2,-6,6
"17764_2019","2019-05-24","2019-05-30",7,"2019-08-30","2019-03-21",2019-03-24,2019,"17764","2019-05-07",17,2019-05-05,"Y",1,0,0,0,"early.fail",42,"A","2250","F","LIRO",NA,67.446716,-50.588791,38.7488888888889,1511.48069265596,0,0,-7
"17765_2019","2019-05-24","2019-05-26",3,"2019-09-02","2019-03-31",2019-04-01,2019,"17765","2019-05-07",17,2019-05-05,"Y",1,0,0,0,"early.fail",34,"A","2250","F","SESK",NA,66.619125,-50.706928,38.2508333333333,1233.43064375627,0,0,-11
"17766_2019","2019-05-23","2019-05-26",4,"2019-09-06","2019-03-25",2019-04-01,2019,"17766","2019-05-07",16,2019-05-05,"Y",1,0,0,0,"early.fail",34,"A","2150","F","WEXF",NA,70.087143,-53.587635,42.0061111111111,1938.56773682467,0,-1,-11
"17771_2019","2019-05-27","2019-05-31",5,"2019-09-17","2019-03-26",2019-04-07,2019,"17771","2019-05-09",18,2019-05-05,"Y",1,0,0,0,"early.fail",28,"A","2550","F","WEXF",NA,71.817017,-54.328999,50.7402777777778,1693.92685241746,2,3,-6
"17776_2019","2019-06-04","2019-06-29",26,"2019-09-15","2019-04-08",2019-04-09,2019,"17776","2019-05-03",32,2019-04-30,"Y",1,1,1,1,"success",21,"A","2400","F","LOKE",NA,66.999153,-50.052155,68.3627777777778,2384.62844300374,-4,11,23
"17777_2019","2019-05-21","2019-05-23",3,"2019-09-06","2019-03-25",2019-03-30,2019,"17777","2019-05-08",13,2019-05-06,"Y",1,0,0,0,"early.fail",37,"A","2250","F","WEXF",NA,70.222389,-52.16901,27.5086111111111,1439.78029171891,1,-3,-14
"17779_2019","2019-06-06","2019-07-02",27,"2019-09-09","2019-03-29",2019-03-31,2019,"17779","2019-05-05",32,2019-05-03,"Y",1,1,1,1,"success",33,"A","2700","F","LOKE",NA,66.568115,-51.514652,38.5130555555556,1130.90620477434,-2,13,26
"17782_2019","2019-05-21","2019-06-15",26,"2019-09-05","2019-04-07",2019-04-08,2019,"17782","2019-05-05",16,2019-05-03,"Y",1,1,1,1,"success",25,"A","2375","F","ISLA",NA,66.616745,-50.299957,23.0016666666667,1115.42553690623,-2,-3,9
"17786_2019","2019-05-21","2019-05-29",9,"2019-09-06","2019-04-07",2019-04-09,2019,"17786","2019-05-07",14,2019-05-05,"Y",1,0,0,0,"early.fail",26,"A","2475","F","ISLA",NA,67.136108,-50.348763,36.8941666666667,1144.20959554486,0,-3,-8
"17790_2019","2019-05-19","2019-05-24",6,"2019-09-06","2019-04-07",2019-04-09,2019,"17790","2019-05-07",12,2019-05-05,"Y",1,0,0,0,"early.fail",26,"A","2600","F","ISLA",NA,67.143837,-50.512074,37.1244444444444,1175.04196932972,0,-5,-13
"17791_2019","2019-05-21","2019-05-28",8,"2019-09-02","2019-03-29",2019-03-31,2019,"17791","2019-05-07",14,2019-05-03,"Y",1,0,0,0,"early.fail",33,"A","2375","F","WEST",NA,67.334129,-50.571947,71.2302777777778,1668.99642164126,0,-3,-9
"17796_2019","2019-05-22","2019-06-07",17,"2019-09-06","2019-04-07",2019-04-09,2019,"17796","2019-05-11",11,2019-05-07,"Y",1,0,0,0,"late.fail",28,"A","2425","F","ISLA",NA,67.142845,-50.549164,62.8038888888889,1799.64232599791,4,-2,1
"17806_2019","2019-05-18","2019-06-12",26,"2019-09-06","2019-04-07",2019-04-09,2019,"17806","2019-05-07",11,2019-05-05,"Y",1,1,1,1,"success",26,"A","2375","F","ISLA",NA,67.143173,-50.558762,37.2238888888889,1315.72419390505,0,-6,6
"17807_2019","2019-05-24","2019-06-18",26,"2019-09-05","2019-04-07",2019-04-08,2019,"17807","2019-05-05",19,2019-05-03,"Y",1,1,1,1,"success",25,"A","2300","F","ISLA",NA,66.597,-50.189571,37.9233333333333,1488.05727127505,-2,0,12
"17810_2019","2019-05-25","2019-05-31",7,"2019-08-11","2019-04-07",2019-04-08,2019,"17810","2019-05-10",15,2019-05-06,"Y",1,0,0,0,"early.fail",28,"A","2375","F","ISLA",NA,67.720665,-50.791908,88.1208333333333,2841.11808635167,3,1,-6
"17824_2019","2019-05-24","2019-06-19",27,"2019-09-11","2019-04-07",2019-04-08,2019,"17824","2019-05-08",16,2019-05-05,"Y",1,1,1,1,"success",27,"A","2200","F","ISLA",NA,67.748207,-50.604286,41.9536111111111,1271.81128455498,1,0,13
"WHIT12_2019","2019-05-19","2019-06-05",18,"2019-09-04","2019-04-07",2019-04-08,2019,"WHIT12","2019-05-05",14,2019-05-03,"Y",1,0,0,0,"late.fail",25,"A","2550","F","KINT",NA,67.44185,-51.8017,42,1735.03404947917,-2,-5,-1
"WHIT16_2019","2019-05-18","2019-05-31",14,"2019-09-05","2019-04-01",2019-04-02,2019,"WHIT16","2019-05-05",13,2019-05-03,"Y",1,0,0,0,"late.fail",31,"A","2125","F","ISLA",NA,68.21798,-50.68792,22.15,1365.02090494792,-2,-6,-6
"WHIT17_2019","2019-05-23","2019-05-29",7,"2019-09-13","2019-04-09",2019-04-09,2019,"WHIT17","2019-05-08",15,2019-05-05,"Y",1,0,0,0,"early.fail",26,"A","2400","F","ISLA",NA,68.1466,-50.62862,36.8833333333333,1512.82362760417,1,-1,-8
"WHIT19_2019","2019-05-28","2019-06-06",10,"2019-09-06","2019-04-08",2019-04-09,2019,"WHIT19","2019-05-09",19,2019-05-05,"Y",1,0,0,0,"early.fail",26,"A","2375","F","ISLA",NA,67.6292,-50.95137,53.0333333333333,2375.9605234375,2,4,0
"WHIT21_2019","2019-05-26","2019-06-10",16,"2019-09-12","2019-03-31",2019-04-02,2019,"WHIT21","2019-05-05",21,2019-05-03,"Y",1,0,0,0,"late.fail",31,"A","2250","F","ISLA",NA,67.7012,-53.36774,37.5,1365.62790755208,-2,2,4
"WHIT25_2019","2019-05-23","2019-06-09",18,"2019-09-06","2019-03-29",2019-03-31,2019,"WHIT25","2019-05-07",16,2019-05-05,"Y",1,0,0,0,"late.fail",35,"A","2350","F","WEST",NA,68.60138,-50.56128,36.65,1360.95076041667,0,-1,3
"UCOL31_2019",NA,NA,0,"2019-09-10","2019-04-06",2019-04-08,2019,"UCOL31","2019-05-06",NA,2019-05-03,"Y",0,NA,NA,0,"defer",25,"A","2350","F","ISLA",NA,NA,NA,45,1508.34706510417,-1,NA,NA
"17769_2019",NA,NA,0,"2019-09-16","2019-03-25",2019-03-30,2019,"17769","2019-05-08",NA,2019-05-06,"Y",0,NA,NA,0,"defer",37,"A","2400","F","WEXF",NA,NA,NA,28.7597222222222,1208.11007470425,1,NA,NA
"17795_2019",NA,NA,0,"2019-09-07","2019-03-27",2019-03-30,2019,"17795","2019-05-05",NA,2019-05-03,"Y",0,NA,NA,0,"defer",34,"A","2650","F","LIRO",NA,NA,NA,44.2488888888889,1617.04479288783,-2,NA,NA
