Tag_year,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length,attempt,success24,staging_length,Age,Mass,Sex,Ringing.location,prev_success,breeding_lat,breeding_long,Green_centre,laying_centre,failure_centre
17700_2019,2019-04-06,2019,17700,2019-05-05,2019-05-06,2019-09-14,2019-06-02,2019-06-06,5,27,1,0,29,A,2350,F,WEXF,1,72.273819,-54.4183255,0,9,0
17706_2019,2019-04-09,2019,17706,2019-05-03,2019-05-07,2019-09-09,2019-05-29,2019-06-11,14,22,1,0,24,A,2375,F,WEST,1,67.163887,-52.025051,1,5,5
17739_2019,2019-04-06,2019,17739,2019-05-05,2019-05-06,2019-09-14,2019-05-25,2019-05-31,7,19,1,0,29,A,2500,F,WEXF,1,72.235229,-54.44556,0,1,-6
17739_2020,2020-04-02,2020,17739,2020-05-08,2020-05-10,2020-09-07,2020-06-01,2020-06-03,3,22,1,0,36,A,2500,F,WEXF,1,72.2490805,-54.298555,3,6.5,-8.5
17739_2021,2021-04-04,2021,17739,2021-05-05,2021-05-07,2021-09-09,2021-06-07,2021-06-16,10,31,1,0,31,A,2500,F,WEXF,0,72.247955,-54.371622,3.5,8,6
17758_2019,2019-04-01,2019,17758,2019-05-03,2019-05-05,2019-09-14,2019-06-05,2019-07-02,28,31,1,1,32,A,2200,F,WEST,1,69.413696,-50.530886,-1,12,26
17759_2020,2020-04-06,2020,17759,2020-05-07,2020-05-08,2020-09-02,2020-05-25,2020-06-19,26,17,1,1,31,A,2700,F,ISLA,1,67.255051,-50.079834,1,-0.5,7.5
17759_2021,2021-04-17,2021,17759,2021-05-05,2021-05-07,2021-08-29,2021-05-28,2021-06-01,5,21,1,0,18,A,2700,F,ISLA,0,67.255348,-50.077591,3.5,-2,-9
17760_2019,2019-04-01,2019,17760,2019-05-05,2019-05-06,2019-09-02,2019-05-24,2019-05-27,4,18,1,0,34,A,2350,F,LIRO,1,67.63472,-50.45068,0,0,-10
17760_2020,2020-04-06,2020,17760,2020-05-06,2020-05-09,2020-08-29,2020-05-26,2020-05-27,2,17,1,0,30,A,2350,F,LIRO,1,67.629089,-50.483755,2,0.5,-15.5
17760_2021,2021-04-11,2021,17760,2021-05-04,2021-05-06,2021-09-06,2021-05-31,2021-06-14,15,25,1,0,23,A,2350,F,LIRO,0,67.627792,-50.470203,2.5,1,4
17761_2021,2021-04-12,2021,17761,2021-05-01,2021-05-03,2021-09-06,NA,NA,0,NA,0,NA,19,A,2400,F,ISLA,0,NA,NA,-0.5,NA,NA
17762_2018,2018-04-06,2018,17762,2018-05-07,2018-05-08,2018-09-26,2018-05-30,2018-06-03,5,22,1,0,31,A,2600,F,WEXF,1,71.513863,-54.111973,-2,-10,-20
17762_2019,2019-03-29,2019,17762,2019-05-03,2019-05-04,2019-09-22,2019-05-17,2019-06-12,27,13,1,1,35,A,2600,F,WEXF,1,71.463821,-53.928429,-2,-7,6
17763_2018,2018-04-08,2018,17763,2018-05-07,2018-05-08,2018-09-21,2018-06-07,2018-07-01,25,30,1,1,29,A,2050,F,WEXF,1,68.812309,-50.412754,-2,-2,8
17764_2019,2019-03-24,2019,17764,2019-05-05,2019-05-06,2019-08-31,2019-05-24,2019-05-30,7,18,1,0,42,A,2250,F,LIRO,1,67.446716,-50.588791,0,0,-7
17764_2020,2020-03-27,2020,17764,2020-05-01,2020-05-03,2020-09-07,2020-05-25,2020-05-26,2,22,1,0,35,A,2250,F,LIRO,1,67.4375,-50.610647,-4,-0.5,-16.5
17765_2019,2019-04-01,2019,17765,2019-05-05,2019-05-06,2019-09-03,2019-05-25,2019-05-26,2,19,1,0,34,A,2250,F,SESK,1,66.619118,-50.7069055,0,1,-11
17765_2020,2020-04-06,2020,17765,2020-05-02,2020-05-05,2020-09-01,NA,NA,0,NA,0,NA,26,A,2250,F,SESK,1,NA,NA,-2,NA,NA
17765_2021,2021-04-11,2021,17765,2021-05-02,2021-05-04,2021-09-03,2021-05-26,2021-06-06,12,22,1,0,21,A,2250,F,SESK,0,66.601189,-50.672718,0.5,-4,-4
17766_2018,2018-04-09,2018,17766,2018-05-08,2018-05-10,2018-09-17,2018-06-06,2018-06-17,12,27,1,0,29,A,2150,F,WEXF,1,70.078445,-53.569508,0,-3,-6
17766_2019,2019-04-01,2019,17766,2019-05-05,2019-05-06,2019-09-10,2019-05-23,2019-05-26,4,17,1,0,34,A,2150,F,WEXF,1,70.087143,-53.587635,0,-1,-11
17766_2020,2020-04-05,2020,17766,2020-05-02,2020-05-07,2020-09-09,2020-05-30,2020-06-03,5,23,1,0,27,A,2150,F,WEXF,1,70.084106,-53.579948,0,4.5,-8.5
17768_2018,2018-04-09,2018,17768,2018-05-07,2018-05-08,2018-09-14,2018-06-10,2018-06-23,14,33,1,0,28,A,2550,F,WEXF,1,67.573029,-53.431465,-2,1,0
17769_2018,2018-04-03,2018,17769,2018-05-09,2018-05-10,2018-09-17,NA,NA,0,NA,0,NA,36,A,2400,F,WEXF,1,NA,NA,0,NA,NA
17769_2019,2019-03-30,2019,17769,2019-05-06,2019-05-07,2019-09-17,NA,NA,0,NA,0,NA,37,A,2400,F,WEXF,1,NA,NA,1,NA,NA
